"Xendit Settings","Pengaturan Xendit"
"Midtrans Settings","Pengaturan Midtrans"
"Payment Request","Permintaan Pembayaran"
"Midtrans connection is configured.","Koneksi Midtrans telah dikonfigurasi."
"Xendit connection is configured.","Koneksi Xendit telah dikonfigurasi."
"Callback Token","Token Callback"
"Server Key","Kunci Server"
"Client Key","Kunci Klien"
"Merchant ID","ID Merchant"
"Secret Key","Kunci Rahasia"
"Is Sandbox","Mode Sandbox"
"Payment Success","Pembayaran Berhasil"
"Payment Success Url","URL Berhasil Pembayaran"
"Payment Gateway","Gerbang Pembayaran"
"Bank/GL Account to receive payments","Akun Bank/Buku Besar untuk menerima pembayaran"
"Payment Gateways","Gerbang Pembayaran"
"Amount is required","Jumlah wajib diisi"
"Payment Success","Pembayaran Berhasil"
"Your payment has been successfully registered.","Pembayaran Anda telah berhasil didaftarkan."
"Your payment has failed.","Pembayaran Anda gagal."
"Your payment is cancelled.","Pembayaran Anda dibatalkan."
"Pay","Bayar"
"Pay {0} {1}","Bayar {0} {1}"
